ids,IC50 (nM),Class Active,IC50 Alone,Ensemble
OSM-LO-6,44.6769280216237,1,Yes,Yes
OSM-LO-5,55.480472126021,1,Yes,Yes
OSM-LO-2,76.4338544310826,1,Yes,Yes
OSM-LO-14,101.638922178812,0,Yes,No
OSM-S-692,106.087178493049,0,Yes,No
OSM-LO-8,118.143574531465,1,Yes,Yes
OSM-S-666,134.573385720318,1,Yes,Yes
OSM-S-683,143.076282012967,1,Yes,Yes
OSM-LO-10,226.819415668836,1,Yes,No
OSM-LO-4,229.790935593512,1,Yes,No
OSM-S-694,244.851037695996,0,Yes,No
OSM-LO-9,248.86026691543,0,Yes,No
OSM-S-680,257.773314068201,0,Yes,No
OSM-LO-7,266.26974195272,1,Yes,No
OSM-S-691,315.518528635974,0,No,No
OSM-S-690,335.013695110697,1,No,No
OSM-S-556,338.630837946452,1,No,No
OMS-S-685,344.536706929361,0,No,No
OSM-S-689,360.183488372355,0,No,No
OSM-LO-11,397.118924578365,1,No,No
OSM-S-662,426.769361853415,0,No,No
OSM-S-668,453.922994482435,0,No,No
OSM-S-693,456.151258271413,0,No,No
OSM-S-669,465.064949085674,0,No,No
OSM-S-672,565.109870023023,0,No,No
OSM-S-687,579.163481827239,0,No,No
OSM-S-670,601.420382543488,0,No,No
OSM-S-678,614.919633090005,0,No,No
OSM-S-673,668.740367852594,0,No,No
OSM-S-676,788.741168089636,0,No,No
OSM-S-675,896.707465441918,0,No,No
OSM-LO-12,997.770340508849,0,No,No
OSM-S-651,1947.51657703661,0,No,No
OSM-LO-1,99999,0,No,No
