OSM_ID	Series	Assay	Value	Qualifier	PfaI EC50 (Inh)	Pfal IC50 (GSK)	Pfal IC50 (Syngene)	Pfal IC50 (Dundee)	Pfal IC50 (Avery)	Pfal (K1) IC50 (Avery)	Pfal IC50 (Ralph)	Pfal IC50 (Guy)	Pfal (K1) IC50 (Guy)	Pfal IC50 (Batra)	Pfal (K1) IC50 (Batra)	Pfal (3D7) IC50 (Broad)	Pfal (Dd2) IC50 (Broad)	Canonical_Smiles	InChIKey
OSM-A-1	1	Pfal IC50 (Guy)	3.05	=								3.05	4.379					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)S(=O)(=O)N	ODRSSOQWOHNABY-MOSHPQCFSA-N
OSM-A-1	1	Pfal (K1) IC50 (Guy)	4.379	=								3.05	4.379					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)S(=O)(=O)N	ODRSSOQWOHNABY-MOSHPQCFSA-N
OSM-A-2	1	Pfal IC50 (Guy)	0.574	=								0.574	1.829					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)C#N	LXPLFPVISCVJSC-BKUYFWCQSA-N
OSM-A-2	1	Pfal (K1) IC50 (Guy)	1.829	=								0.574	1.829					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(cc4)C#N	LXPLFPVISCVJSC-BKUYFWCQSA-N
OSM-A-3	1	Pfal IC50 (Guy)	0.098	=								0.098	0.14					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(I)cc4	LZWDTKNFRNEIKZ-MOSHPQCFSA-N
OSM-A-3	1	Pfal (K1) IC50 (Guy)	0.14	=								0.098	0.14					Cc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)c(C)n1c4ccc(I)cc4	LZWDTKNFRNEIKZ-MOSHPQCFSA-N
OSM-E-1	1	Pfal IC50 (Dundee)	50	>				>50										CN(CC(=O)N)S(=O)(=O)c1cc(C)n(c1C)c2ccc(F)cc2	KRDORFFFZGUMFF-UHFFFAOYSA-N
OSM-E-2	1	Pfal IC50 (Dundee)	50	>				>50										Cc1cc(c(C)n1c2ccc(F)cc2)S(=O)(=O)NCC(=O)N	RMHRPTFDPMUFGU-UHFFFAOYSA-N
OSM-E-3	1	Pfal IC50 (Dundee)	50	>				>50										CN(CC(=O)N)S(=O)(=O)c1c(C)n(c(C)c1S(=O)(=O)N(C)CC(=O)N)c2ccc(F)cc2	TZMPVBDMPWKREJ-UHFFFAOYSA-N
OSM-E-4	1	Pfal IC50 (Dundee)	50	>				>50										Fc1ccc(cc1)n2cc(COC(=O)CBr)nn2	UNGOTBWYUGGCJU-UHFFFAOYSA-N
